note_id,title,publish_time,media_type,duration,creator_perf_status,creator_view,creator_like,creator_collect,creator_comment,creator_share,paid_associated,associated_unit_count,associated_campaign_count,paid_metric_status,paid_observed_month_count,first_observed_paid_month,last_observed_paid_month,observed_paid_fee,observed_paid_impression,observed_paid_click,observed_paid_leads,window_alignment_status
63a674c6000000001f020277,佛山卡西亚岩板岛台定制,2022-12-24 11:40,video,29.0,CREATOR_PERFORMANCE_MISSING,,,,,,0,0,0,NO_PAID_ASSOCIATION_OBSERVED,0,,,,,,,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63a6a3e9000000001c0076f9,"都2023年了,还不知道岛台吗?",2022-12-24 15:02,video,26.0,CREATOR_PERFORMANCE_MISSING,,,,,,1,2,2,NOTE_PAID_METRIC_PRESENT,3,M2026-04,M2026-07,0.0,4.0,0.0,0.0,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63a6a53f000000001f00d5e2,传统餐桌换成岛台🎃简直不要太美!,2022-12-24 15:07,video,27.0,CREATOR_PERFORMANCE_MISSING,,,,,,1,2,2,PAID_ASSOCIATED_NO_METRIC_RECORD,0,,,,,,,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63a6a614000000001b0271df,2023年厨房c位🎉岛台设计走进百姓户,2022-12-24 15:11,video,9.0,CREATOR_PERFORMANCE_MISSING,,,,,,1,2,2,PAID_ASSOCIATED_NO_METRIC_RECORD,0,,,,,,,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63a6a7af000000001e03f0a2,岩板岛台餐桌一体🤙家居收纳小能手,2022-12-24 15:18,video,20.0,CREATOR_PERFORMANCE_MISSING,,,,,,1,2,2,NOTE_PAID_METRIC_PRESENT,3,M2026-04,M2026-07,0.0,7.0,0.0,0.0,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63a6a8b90000000022039f3f,开放式厨房提升高级感🤞你只差个岛台,2022-12-24 15:22,video,17.0,CREATOR_PERFORMANCE_MISSING,,,,,,1,2,2,NOTE_PAID_METRIC_PRESENT,1,M2026-04,M2026-04,0.01,3.0,1.0,0.0,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63aa64f4000000001b026a6b,第二套房我不买餐桌了💋做岛台它不香吗,2022-12-27 11:22,video,21.0,CREATOR_PERFORMANCE_MISSING,,,,,,0,0,0,NO_PAID_ASSOCIATION_OBSERVED,0,,,,,,,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63aa6814000000001f00b384,一招教你变豪装👀岛台定制设计🤟帮到您,2022-12-27 11:35,video,50.0,CREATOR_PERFORMANCE_MISSING,,,,,,1,2,2,PAID_ASSOCIATED_NO_METRIC_RECORD,0,,,,,,,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63aa6adf000000001f020eb5,西式开放式厨房😉餐厨一体的岛台设计,2022-12-27 11:47,video,27.0,CREATOR_PERFORMANCE_MISSING,,,,,,1,2,2,NOTE_PAID_METRIC_PRESENT,2,M2026-05,M2026-07,0.0,3.0,0.0,0.0,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63aab8ca000000001f00d6e0,一体岛台🤙绝不翻车的配色🐶稳如老狗,2022-12-27 17:20,video,12.0,CREATOR_PERFORMANCE_MISSING,,,,,,1,2,2,NOTE_PAID_METRIC_PRESENT,1,M2026-05,M2026-05,0.0,1.0,0.0,0.0,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63aabacb000000002202b632,定制一体岛台🙊颜值实用收纳😻我全都要,2022-12-27 17:28,video,20.0,CREATOR_PERFORMANCE_MISSING,,,,,,1,2,2,NOTE_PAID_METRIC_PRESENT,1,M2026-06,M2026-06,0.0,1.0,0.0,0.0,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63aabcfd000000001b016364,做了这岛台😎你就是整栋楼里最靓的邻居,2022-12-27 17:38,video,19.0,CREATOR_PERFORMANCE_PRESENT,239.0,3.0,1.0,0.0,1.0,0,0,0,NO_PAID_ASSOCIATION_OBSERVED,0,,,,,,,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63aabe9e000000001f012388,2023年🤔我说会火🔥的三款岩板吧台,2022-12-27 17:45,video,24.0,CREATOR_PERFORMANCE_PRESENT,455.0,7.0,4.0,0.0,2.0,1,2,2,NOTE_PAID_METRIC_PRESENT,4,M2026-04,M2026-07,0.0,49.0,0.0,0.0,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
63abb6d7000000001b0250a4,开放式厨房餐厅客厅一体😍岛台定制设计,2022-12-28 11:24,video,19.0,CREATOR_PERFORMANCE_PRESENT,250.0,3.0,2.0,0.0,0.0,0,0,0,NO_PAID_ASSOCIATION_OBSERVED,0,,,,,,,UNALIGNED (creator snapshot window vs paid Apr-Aug closed months)
