分组,样本,分层,角色,segment_id,开始毫秒,结束毫秒,场景,产品,材质,功能,动作,镜头用途,业务特征(storage/power/flexible/dining),结论(SUPPORTED/CANDIDATE/UNKNOWN)
历史样本,SA-66f672d6,A_CREATOR_HIGH_NO_PAID_ASSOC_OBSERVED,开头,b007:66f672d6000000001902efbb:0,0,1607,,,,,,,,
历史样本,SD-670630e9,D_PAID_HIGH_INPUT_WEAK_OUTCOME,开头,b007:670630e9000000001a023e3f:0,0,643,,,,,,,,
历史样本,SB-63c5675a,B_CREATOR_MID_LOW_NO_PAID_ASSOC_OBSERVED,开头,b007:63c5675a000000001c034435:0,0,2800,,,,,,,,
历史样本,SB-66d7c509,B_CREATOR_MID_LOW_NO_PAID_ASSOC_OBSERVED,开头,b007:66d7c509000000000c018964:0,0,1680,,,,,,,,
历史样本,SA-6544d761,A_CREATOR_HIGH_NO_PAID_ASSOC_OBSERVED,高信息,b007:6544d761000000001f038f12:8,12300,14800,,,,,,,,
历史样本,SA-64f158f4,A_CREATOR_HIGH_NO_PAID_ASSOC_OBSERVED,高信息,b007:64f158f4000000001d014203:1,100,23941,,,,,,,,
历史样本,SA-64e42823,A_CREATOR_HIGH_NO_PAID_ASSOC_OBSERVED,高信息,b007:64e42823000000000800c82d:69,138400,146200,,,,,,,,
历史样本,SA-66f672d6,A_CREATOR_HIGH_NO_PAID_ASSOC_OBSERVED,高信息,b007:66f672d6000000001902efbb:16,28143,30321,,,,,,,,
近期样本,RC-6A7B28AB,RC_PAID_EFFICIENT,开头,b007:6a7b28ab000000002800316a:0,0,5833,,,,,,,,
近期样本,RC-6A8EDCCA,RC_PAID_EFFICIENT,开头,b007:6a8edcca000000002a03b79e:0,0,2067,,,,,,,,
近期样本,RC-6A411F31,RC_PAID_HIGH_INPUT_WEAK_OUTCOME,开头,b007:6a411f31000000001503cdc6:0,0,6300,,,,,,,,
近期样本,RC-6A85B849,RC_CREATOR_HIGH,开头,b007:6a85b8490000000021022731:0,0,2667,,,,,,,,
近期样本,RC-6A8EDCCA,RC_PAID_EFFICIENT,高信息,b007:6a8edcca000000002a03b79e:1,2067,3467,,,,,,,,
近期样本,RC-6A411FEB,RC_PAID_EFFICIENT,高信息,b007:6a411feb000000001c026d77:7,20400,26233,,,,,,,,
近期样本,RC-6A85B849,RC_CREATOR_HIGH,高信息,b007:6a85b8490000000021022731:11,39267,45867,,,,,,,,
近期样本,RC-6A92B9E8,RC_NO_PAID_CONTROL,高信息,b007:6a92b9e8000000002501a357:5,7180,9780,,,,,,,,
