sample_id,window,selection_stratum,primary_stratum,note_id,title,publish_time,duration,creator_view,paid_metric_status,observed_paid_fee,observed_paid_impression,observed_paid_leads
RC-6A92B9E8,LATEST,No Paid Control,RC_NO_PAID_CONTROL,6a92b9e8000000002501a357,给餐厅做了个大手术😭通透感绝了,2026-08-30 12:01,38.0,112.0,NO_PAID_ASSOCIATION_OBSERVED,,,
RC-6A9189B6,LATEST,No Paid Control,RC_NO_PAID_CONTROL,6a9189b6000000002003348e,后悔没早装岛台😭小厨房逆袭了,2026-08-28 21:14,30.0,74.0,NO_PAID_ASSOCIATION_OBSERVED,,,
RC-6A8EDCCA,LATEST,Paid Efficient,RC_PAID_EFFICIENT,6a8edcca000000002a03b79e,入住两年换岛台😭餐厅终于不乱了,2026-08-26 20:32,49.0,160.0,NOTE_PAID_METRIC_PRESENT,0.01,1.0,0.0
RC-6A85B849,LATEST,Creator High,RC_CREATOR_HIGH,6a85b8490000000021022731,岛台13个尺寸细节📝照着做不翻车,2026-08-19 22:06,100.0,162.0,NO_PAID_ASSOCIATION_OBSERVED,,,
RC-6A7B28AB,LATEST,Paid Efficient,RC_PAID_EFFICIENT,6a7b28ab000000002800316a,黑白配伸缩岛台🗄️收纳细节全拿捏,2026-08-12 12:01,83.0,117.0,NOTE_PAID_METRIC_PRESENT,0.52,23.0,0.0
RC-6A659145,LATEST,Creator High,RC_CREATOR_HIGH,6a659145000000001101f9be,岛台好用很简单💡13个尺寸做对不翻车,2026-07-26 19:00,87.0,178.0,NO_PAID_ASSOCIATION_OBSERVED,,,
RC-6A411FEB,EARLIER,Paid Efficient,RC_PAID_EFFICIENT,6a411feb000000001c026d77,岛台尺寸避坑💡95cm高+60cm伸缩,2026-06-29 12:01,39.0,78.0,NOTE_PAID_METRIC_PRESENT,0.15,12.0,0.0
RC-6A411F31,EARLIER,Paid High-input Weak,RC_PAID_HIGH_INPUT_WEAK_OUTCOME,6a411f31000000001503cdc6,岩板操作台🤍带水槽+大抽屉全收,2026-06-28 21:18,63.0,42.0,NOTE_PAID_METRIC_PRESENT,2.37,24.0,0.0
RC-6A37DCBF,EARLIER,Cross-source,RC_CROSS_SOURCE_CONTRAST,6a37dcbf0000000007010e07,意式简约岛台🖤薄抽双拉+田字格收纳,2026-06-23 12:00,76.0,58.0,PAID_ASSOCIATED_NO_METRIC_RECORD,,,
RC-6A37DA9D,EARLIER,Creator High,RC_CREATOR_HIGH,6a37da9d00000000080311af,岛台避坑💡95cm高+焊高导轨才合格,2026-06-21 20:35,87.0,133.0,NO_PAID_ASSOCIATION_OBSERVED,,,
RC-6A369C78,EARLIER,Cross-source,RC_CROSS_SOURCE_CONTRAST,6a369c78000000000702e481,2.8米伸缩岛台🤎薄抽+大抽屉双拉,2026-06-20 21:58,75.0,42.0,PAID_ASSOCIATED_NO_METRIC_RECORD,,,
RC-6A2BB62D,EARLIER,Paid High-input Weak,RC_PAID_HIGH_INPUT_WEAK_OUTCOME,6a2bb62d00000000070200a5,岛台水电翻车?集成用电才省心⚡,2026-06-13 19:00,54.0,53.0,NOTE_PAID_METRIC_PRESENT,2.68,31.0,0.0
