sample_id,note_id,primary_stratum,title,publish_time,duration,creator_view,creator_like,creator_collect,creator_comment,creator_share,view_percentile,paid_status,observed_fee,paid_impressions,paid_clicks,paid_leads,paid_msg,fee_percentile,imp_percentile,lead_cost_derived,msg_cost_derived,cpc_derived,ctr_derived,paid_months
SA-6544d761,6544d761000000001f038f12,A_CREATOR_HIGH_NO_PAID_ASSOC_OBSERVED,请大数据把我推给🔥小户型进门就是厨房,2023-11-03 20:19,120.0,347451.0,2700.0,2102.0,93.0,442.0,100.0,NO_PAID_ASSOCIATION_OBSERVED,,,,,,,,,,,,0
SA-64f158f4,64f158f4000000001d014203,A_CREATOR_HIGH_NO_PAID_ASSOC_OBSERVED,小户型进门就是厨房❗岛台这样做好看又好用,2023-09-01 17:00,23.0,40126.0,241.0,324.0,1.0,95.0,99.6,NO_PAID_ASSOCIATION_OBSERVED,,,,,,,,,,,,0
SA-64e42823,64e42823000000000800c82d,A_CREATOR_HIGH_NO_PAID_ASSOC_OBSERVED,我发现🆘2023年岛台灯光万能🔥6个逻辑,2023-08-22 11:14,158.0,35187.0,541.0,809.0,25.0,313.0,99.6,NO_PAID_ASSOCIATION_OBSERVED,,,,,,,,,,,,0
SA-66f672d6,66f672d6000000001902efbb,A_CREATOR_HIGH_NO_PAID_ASSOC_OBSERVED,造孽啊🤯岛台内嵌烤箱翻倒到地上!?️,2024-09-29 21:00,49.0,15404.0,285.0,339.0,28.0,166.0,99.2,NO_PAID_ASSOCIATION_OBSERVED,,,,,,,,,,,,0
SB-63c5675a,63c5675a000000001c034435,B_CREATOR_MID_LOW_NO_PAID_ASSOC_OBSERVED,餐厅布局案例:错位岛台让餐厅提高档次❗,2023-01-16 23:03,9.0,367.0,2.0,1.0,0.0,0.0,49.9,NO_PAID_ASSOCIATION_OBSERVED,,,,,,,,,,,,0
SB-682edce4,682edce4000000001101e878,B_CREATOR_MID_LOW_NO_PAID_ASSOC_OBSERVED,岛台水电如何预留布局?才合理不翻车?,2025-06-01 17:00,38.0,367.0,0.0,0.0,1.0,0.0,49.9,NO_PAID_ASSOCIATION_OBSERVED,,,,,,,,,,,,0
SB-66d7c509,66d7c509000000000c018964,B_CREATOR_MID_LOW_NO_PAID_ASSOC_OBSERVED,岛台水电布局不想返工❌一定要看👀,2024-09-05 17:00,51.0,366.0,1.0,1.0,1.0,0.0,49.8,NO_PAID_ASSOCIATION_OBSERVED,,,,,,,,,,,,0
SC-64fbe901,64fbe901000000001d01424c,C_PAID_HIGH_EFFICIENCY_CANDIDATE,"8m2小厨房✅,被问爆的岛台安装&设计来啦!",2023-09-09 11:39,23.0,827.0,2.0,2.0,2.0,1.0,88.4,NOTE_PAID_METRIC_PRESENT,0.08,22.0,2.0,1.0,1.0,33.8,56.3,0.08,0.08,0.04,0.0909,5
SC-65bc60fe,65bc60fe0000000008022950,C_PAID_HIGH_EFFICIENCY_CANDIDATE,奶呼呼的岛台太哇塞了🔥颜值扛把子!!,2024-02-14 17:00,37.0,407.0,0.0,0.0,1.0,0.0,52.5,NOTE_PAID_METRIC_PRESENT,2.92,15.0,1.0,1.0,1.0,81.5,43.9,2.92,2.92,2.92,0.0667,4
SC-69f9a0ac,69f9a0ac000000003701d937,C_PAID_HIGH_EFFICIENCY_CANDIDATE,通透又显大的开放式厨房标配岛台🤔,2026-05-06 12:01,21.0,125.0,2.0,1.0,0.0,0.0,35.9,NOTE_PAID_METRIC_PRESENT,1.18,19.0,2.0,0.0,1.0,70.2,51.7,,1.18,0.59,0.1053,4
SC-63c8d157,63c8d157000000001f02357d,C_PAID_HIGH_EFFICIENCY_CANDIDATE,岛台不做收纳储物真的很可惜❗再配个水槽,2023-01-19 13:12,20.0,716.0,2.0,5.0,0.0,3.0,84.0,NOTE_PAID_METRIC_PRESENT,0.04,20.0,4.0,0.0,0.0,29.1,53.8,,,0.01,0.2,5
SD-66de90b3,66de90b3000000000c01a935,D_PAID_HIGH_INPUT_WEAK_OUTCOME,岛台餐椅咋配😭,2024-09-09 19:01,44.0,926.0,1.0,2.0,1.0,0.0,90.7,NOTE_PAID_METRIC_PRESENT,57.61,1135.0,155.0,0.0,0.0,99.5,99.1,,,0.37,0.1366,5
SD-670630e9,670630e9000000001a023e3f,D_PAID_HIGH_INPUT_WEAK_OUTCOME,有了这款餐椅🪑终于实现梦想的岛台氛围,2024-10-11 17:00,34.0,277.0,1.0,0.0,2.0,0.0,45.1,NOTE_PAID_METRIC_PRESENT,45.76,900.0,95.0,0.0,0.0,99.2,98.9,,,0.48,0.1056,5
