stratum,note_id,title,creator_view,view_pct,fee,imp,leads,msg,fee_pct,imp_pct,lead_cost,msg_cost,cpc,ctr,paid_months
A,63b39fb50000000022034167,岛台避坑指南来了🤓四条干货 赶紧收藏,8050.0,98.9,,,,,,,,,,,0
A,644f61c100000000270138cb,岛台定制必看的!?️服务流程及注意事项🚛,2039.0,96.6,,,,,,,,,,,0
A,64a9073c000000002301ce53,岛台无主灯设计避坑❗6步提升灯光高级感,1291.0,94.8,,,,,,,,,,,0
A,64ab67200000000015033779,"不懂5个⚠️核心灯光元素,❗🚗难怪你翻车",6262.0,98.7,,,,,,,,,,,0
A,64b519d7000000003102cfc1,餐厨水电重灾区❗️3个核心标准⚠️不翻车,963.0,91.2,,,,,,,,,,,0
A,64cccafd000000001700e269,任重修行 被认可是幸福❤️被信任更是责任,1922.0,96.4,,,,,,,,,,,0
A,64ce0f9e000000000c034d15,岛台无主💡灯设计避坑🔥5步提升高级感,1286.0,94.8,,,,,,,,,,,0
A,64ce1ca7000000000c037750,"不懂5个⚠️核心灯光元素,❗🚗难怪你翻车",1251.0,94.6,,,,,,,,,,,0
A,64d5f9cc000000000800fbb7,2023年潮流预测🔥微水泥奶油风❗伸缩岛台,679.0,81.8,,,,,,,,,,,0
A,64e42823000000000800c82d,我发现🆘2023年岛台灯光万能🔥6个逻辑,35187.0,99.6,,,,,,,,,,,0
A,64e5d467000000001700e62d,白嫖王炸✅8个秘诀教程提高奶油极简风100%,675.0,81.4,,,,,,,,,,,0
A,64f158f4000000001d014203,小户型进门就是厨房❗岛台这样做好看又好用,40126.0,99.6,,,,,,,,,,,0
A,650804a9000000001f006838,2023年蕞火⚠️圆弧岛台避坑❗买前看好4点,665.0,80.9,,,,,,,,,,,0
A,6513ed86000000001f0397a4,"撑握5个⚠️核心灯光元素,❗🚗保你不翻车",708.0,83.5,,,,,,,,,,,0
A,653369eb000000001f0371b1,2023年潮流预测🔥微水泥奶油风伸缩岛台,624.0,77.8,,,,,,,,,,,0
B,63aabcfd000000001b016364,做了这岛台😎你就是整栋楼里最靓的邻居,239.0,43.3,,,,,,,,,,,0
B,63abb6d7000000001b0250a4,开放式厨房餐厅客厅一体😍岛台定制设计,250.0,43.9,,,,,,,,,,,0
B,63abea1300000000180102e4,高级感满满🥳开放式西厨大吧台,337.0,48.5,,,,,,,,,,,0
B,63bfed27000000002202be8a,开放式厨房岛台尺寸讲解👍建议你码住❗,283.0,45.6,,,,,,,,,,,0
B,63c5675a000000001c034435,餐厅布局案例:错位岛台让餐厅提高档次❗,367.0,49.9,,,,,,,,,,,0
B,63ca7af6000000001f0270f4,传统餐桌还需要做吗❓西厨大岛台做起来❗,262.0,44.6,,,,,,,,,,,0
B,63cbae35000000001f0207c7,岛台可以没有脚吗❓围观,254.0,44.0,,,,,,,,,,,0
B,63d32872000000001c0063d4,开放式厨房怎么做❓攻略来啦❗建议直接抄❗,226.0,42.8,,,,,,,,,,,0
B,63d8f790000000001d023407,做一个功能岛台太香啦❗幸亏听了邻居的建议,289.0,45.9,,,,,,,,,,,0
B,63d9d851000000001b01e56c,2023年做岛台餐桌一体还来得及吗❓建议考虑,239.0,43.3,,,,,,,,,,,0
B,63db9b2500000000080241db,一种岛台当两个用❗餐厅的颜值当当,259.0,44.4,,,,,,,,,,,0
B,63eca0e2000000001301389e,悬空岛台用金属钢架制作怎么没有脚❓,240.0,43.3,,,,,,,,,,,0
B,63edf1c1000000001300ee52,爸妈都不看好的岛台实际安装好真的是太美啦,213.0,41.9,,,,,,,,,,,0
B,647d3198000000000703ba86,炫酷的氛围灯💡让家里档次瞬间提升👑,352.0,49.4,,,,,,,,,,,0
B,64ec6a730000000017018219,新家装修必备❗圆弧岛台收藏✅这一篇就够了,217.0,42.1,,,,,,,,,,,0
D,63bac1840000000018013e62,2025年流行款:胡桃木+劳伦黑岩板岛台🔥,17848.0,99.3,8.58,357.0,0.0,0.0,90.7,93.7,,,0.22,0.1092,5
D,63d1e16b000000001c00586f,错位岛台要不要做❓配上亚克力脚太美了❗,804.0,87.7,1.7,218.0,0.0,0.0,75.4,90.4,,,0.1,0.078,5
D,6443a4b900000000270127b2,自制花费4K中岛台细节来咯?隐藏实用功能,512.0,64.7,5.29,72.0,0.0,0.0,86.8,80.1,,,0.35,0.2083,5
D,64b751b5000000002f026c7b,掌握5大🔥核心尺寸标准❗🚗保你不翻车,28069.0,99.4,3.7,121.0,0.0,0.0,83.7,85.7,,,0.19,0.157,5
D,64db4e87000000001701a578,救命🆘岛台工厂大牌平替被我找到了❗💡,5850.0,98.6,26.32,165.0,0.0,0.0,98.1,89.1,,,1.46,0.1091,5
D,65080ae0000000001e020f0f,就是它圆弧岛台⚠️我老婆喜欢的这款岛台❗,529.0,67.1,3.5,61.0,0.0,0.0,83.4,78.0,,,1.17,0.0492,5
D,650ed207000000001f004d91,小户型开间2.4米❗岛台尺寸布局避免踩坑❓,2482.0,97.2,5.81,70.0,0.0,0.0,87.9,79.3,,,0.65,0.1286,5
D,654340ba000000001e0299de,请大数据把我推给🔥进门就是小厨房的户型,1284.0,94.7,9.29,387.0,0.0,0.0,91.2,94.1,,,0.18,0.1318,5
D,6544e4b5000000001f03b71c,避坑❗避坑❗懂得岛台海棠角3点绝密纯干货,1852.0,96.2,2.36,148.0,0.0,0.0,79.1,87.7,,,0.12,0.1351,5
D,65582685000000003202ea19,对天发誓🔥这个L型岛台真的......,1008.0,92.1,11.26,93.0,0.0,0.0,92.7,83.4,,,0.56,0.2151,5
D,656c3832000000000602066f,"宝格丽奢石岛台🔥颜值担当,好看又实用!!",727.0,84.6,2.44,56.0,0.0,0.0,79.7,77.1,,,1.22,0.0357,5
D,658d3111000000001d037f78,都给我冲🔥爆款冷翡翠岛台!!️,564.0,72.0,2.83,53.0,0.0,0.0,81.2,75.9,,,0.71,0.0755,5
D,659bab08000000001a02a02b,小户型岛台尺寸怎么做不出错!?️,975.0,91.5,8.85,267.0,0.0,0.0,90.8,91.4,,,0.23,0.1461,5
